Date Processed,Previous Close,Volume,Market Cap,PE Ratio (TTM),EPS (TTM),Financial Report Date,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Book Value,Book Value per Share,Price to Book Value Ratio,Asset to Liabilities
08/26/20,510.00,"7,922,423",314.216B,93.85,5.44,1/31/2020,"17,315,000","5,111,000","12,204,000","14,195,000","12,204,000","652,000","11,537,000","11,906,000","14,195,000","11,537,000","2,643,000","1,991,000","984,506","641,991","342,514",12204000000.0,1540.4378180766162,0.3310747074729597,3.387791038935629
08/27/20,510.92,"7,804,918",310.655B,92.79,5.44,1/31/2020,"17,315,000","5,111,000","12,204,000","14,195,000","12,204,000","652,000","11,537,000","11,906,000","14,195,000","11,537,000","2,643,000","1,991,000","984,506","641,991","342,514",12204000000.0,1563.6294961715164,0.3267525978826614,3.387791038935629
08/28/20,505.13,"13,134,158",324.486B,96.60,5.44,1/31/2020,"17,315,000","5,111,000","12,204,000","14,195,000","12,204,000","652,000","11,537,000","11,906,000","14,195,000","11,537,000","2,643,000","1,991,000","984,506","641,991","342,514",12204000000.0,929.1802337081676,0.5436297304605048,3.387791038935629
08/31/20,525.91,"12,177,066",330.083B,98.27,5.44,1/31/2020,"17,315,000","5,111,000","12,204,000","14,195,000","12,204,000","652,000","11,537,000","11,906,000","14,195,000","11,537,000","2,643,000","1,991,000","984,506","641,991","342,514",12204000000.0,1002.2118628576046,0.5247493264552605,3.387791038935629
09/01/20,534.82,"12,578,332",341.102B,101.55,5.44,1/31/2020,"17,315,000","5,111,000","12,204,000","14,195,000","12,204,000","652,000","11,537,000","11,906,000","14,195,000","11,537,000","2,643,000","1,991,000","984,506","641,991","342,514",12204000000.0,970.2399332439309,0.5512244772402491,3.387791038935629
09/02/20,552.84,"21,423,908",354.072B,105.41,5.44,1/31/2020,"17,315,000","5,111,000","12,204,000","14,195,000","12,204,000","652,000","11,537,000","11,906,000","14,195,000","11,537,000","2,643,000","1,991,000","984,506","641,991","342,514",12204000000.0,569.6439697183166,0.9705009258210423,3.387791038935629
09/03/20,573.86,"22,995,991",321.223B,95.63,5.44,1/31/2020,"17,315,000","5,111,000","12,204,000","14,195,000","12,204,000","652,000","11,537,000","11,906,000","14,195,000","11,537,000","2,643,000","1,991,000","984,506","641,991","342,514",12204000000.0,530.7011991785872,1.081324106461816,3.387791038935629
09/04/20,520.62,"36,436,488",311.523B,92.74,N/A,1/31/2020,"17,315,000","5,111,000","12,204,000","14,195,000","12,204,000","652,000","11,537,000","11,906,000","14,195,000","11,537,000","2,643,000","1,991,000","984,506","641,991","342,514",12204000000.0,334.938976555589,1.5543726960471975,3.387791038935629
09/08/20,504.90,"19,893,237",324.079B,87.53,5.44,1/31/2020,"17,315,000","5,111,000","12,204,000","14,195,000","12,204,000","652,000","11,537,000","11,906,000","14,195,000","11,537,000","2,643,000","1,991,000","984,506","641,991","342,514",12204000000.0,613.4748206136588,0.8230166634955751,3.387791038935629
09/09/20,476.52,"18,133,231",345.897B,93.42,5.44,1/31/2020,"17,315,000","5,111,000","12,204,000","14,195,000","12,204,000","652,000","11,537,000","11,906,000","14,195,000","11,537,000","2,643,000","1,991,000","984,506","641,991","342,514",12204000000.0,673.0185039831015,0.7080340245919371,3.387791038935629
09/10/20,508.60,"17,182,036",334.927B,90.46,5.44,1/31/2020,"17,315,000","5,111,000","12,204,000","14,195,000","12,204,000","652,000","11,537,000","11,906,000","14,195,000","11,537,000","2,643,000","1,991,000","984,506","641,991","342,514",12204000000.0,710.2767099312329,0.7160589568666011,3.387791038935629
09/11/20,492.47,"15,763,001",330.921B,89.38,5.44,1/31/2020,"17,315,000","5,111,000","12,204,000","14,195,000","12,204,000","652,000","11,537,000","11,906,000","14,195,000","11,537,000","2,643,000","1,991,000","984,506","641,991","342,514",12204000000.0,774.2180565743795,0.6360869471050475,3.387791038935629
09/14/20,486.58,"30,043,624",350.175B,94.58,5.44,1/31/2020,"17,315,000","5,111,000","12,204,000","14,195,000","12,204,000","652,000","11,537,000","11,906,000","14,195,000","11,537,000","2,643,000","1,991,000","984,506","641,991","342,514",12204000000.0,406.20931749112555,1.1978553397181253,3.387791038935629
09/15/20,514.89,"17,979,087",353.405B,95.45,5.44,1/31/2020,"17,315,000","5,111,000","12,204,000","14,195,000","12,204,000","652,000","11,537,000","11,906,000","14,195,000","11,537,000","2,643,000","1,991,000","984,506","641,991","342,514",12204000000.0,678.7886392673888,0.758542453738938,3.387791038935629
09/16/20,519.64,"13,466,525",309.215B,91.95,5.44,1/31/2020,"17,315,000","5,111,000","12,204,000","14,195,000","12,204,000","652,000","11,537,000","11,906,000","14,195,000","11,537,000","2,643,000","1,991,000","984,506","641,991","342,514",12204000000.0,906.2471573030161,0.5733976606850213,3.387791038935629
